bandwhich	core
bat	core
bore	core
bottom	core
dog	core
dprint	core
dufs	core
dust	core
eza	core
fclones	core
fd	core
ferium	core
feroxbuster	core
gping	core
grex	core
hexyl	core
hyperfine	core
just	core
miniserve	core
mprocs	core
mqttui	core
netscanner	core
oha	core
ouch	core
oxker	core
pastel	core
procs	core
pueue	core
rage	core
rathole	core
ripgrep	core
rustscan	core
sd	core
sniffnet	core
spotify-tui	core
starship	core
taplo	core
tealdeer	core
tokei	core
topgrade	core
trippy	core
typos	core
websocat	core
wormhole-rs	core
xh	core
xsv	core
zellij	core
zoxide	core
broot	core
choose	core
cotp	core
csvlens	core
delta	core
diffr	core
diskonaut	core
diskus	core
dua-cli	core
fend	core
git-cliff	core
git-graph	core
hgrep	core
htmlq	core
jaq	core
joshuto	core
kalker	core
kibi	core
kondo	core
lsd	core
mdbook	core
navi	core
numbat	core
onefetch	core
oxipng	core
presenterm	core
rip	core
rust-parallel	core
rustypaste	core
sad	core
serie	core
skim	core
so	core
stylua	core
tre-command	core
viu	core
vivid	core
watchexec	core
xcp	core
xplr	core
ast-grep	heavy
atuin	heavy
bacon	core
blondie	core
bob-nvim	core
dicom-dump	core
difftastic	heavy
dify	core
espflash	core
flip-link	core
genact	core
gifski	core
gitoxide	heavy
gitu	core
gitui	heavy
grass	core
grcov	heavy
hurl	heavy
hwatch	core
jless	core
jnv	core
komac	core
lowcharts	core
maturin	heavy
mise	heavy
monolith	core
nushell	heavy
protofetch	core
rink	core
rmesg	core
rustic	core
rust-script	core
sccache	heavy
silicon	core
spider_cli	core
taskwarrior-tui	core
television	heavy
tokio-console	core
tree-sitter-cli	heavy
trunk	heavy
tuc	core
wiki-tui	core
yazi-fm	heavy
helix	core
jj	core
alacritty	core
qsv	core
fnm	core
mcfly	core
zenith	core
kmon	core
systeroid	core
git-absorb	core
cargo-edit	core
cargo-nextest	core
cargo-binstall	core
cargo-generate	core
cargo-deny	core
cargo-outdated	core
cargo-watch	core
cargo-expand	core
cargo-msrv	core
cargo-hack	core
frawk	core
huniq	core
csview	core
macchina	core
ncspot	core
tere	core
felix	core
nomino	core
rustcat	core
httm	core
thokr	core
ttyper	core
aichat	core
mask	core
amber	core
bingrep	core
hexpatch	core
rnr	core
atac	core
russ	core
serpl	core
toipe	core
tenere	core
