crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
bandwhich,cgu-16_lto-false_opt-3_panic-unwind,636b88351b9a6651a0a105be9003651655b8826437a29e44d4c508a2d300cd1d,eh_frame,5899,1524,348,6333,True,True,5899,,['bandwhich'],v0,5899,5613,65,2358,3190,0
bandwhich,cgu-16_lto-thin_opt-3_panic-unwind,395398af4f7977075fe6d0d23cd74b7e923acbeed53d426245c29f8bc106c04f,eh_frame,5368,1501,343,5575,True,True,5368,,['bandwhich'],v0,5368,5116,64,2090,2962,0
bandwhich,cgu-4_lto-false_opt-3_panic-unwind,f8bf56c7251efe2537ee0a79a7bebcf06be5e74777059a5edc06a9204906f8ef,eh_frame,5242,1488,349,6075,True,True,5242,,['bandwhich'],v0,5242,4983,62,2160,2761,0
bat,cgu-16_lto-false_opt-3_panic-unwind,93398500dac995ef204ce5b39d0abed21cea03c4e32f5e73c8015645bdf74a3a,eh_frame,10316,3428,502,23010,True,True,10316,,['bat'],v0,10316,9613,328,4189,5096,0
bat,cgu-16_lto-thin_opt-3_panic-unwind,78d300d555e450a72c8672c0824c9a431c7e4259e62df47599c9eb36dcd4ba16,eh_frame,9691,3391,501,22090,True,True,9691,,['bat'],v0,9691,9016,308,3867,4841,0
bat,cgu-4_lto-false_opt-3_panic-unwind,db5a834c5cf5071bb6636fba5aaed7a4ca2816f1b622eb5cfd33e7878742db6a,eh_frame,9488,3269,501,21905,True,True,9488,,['bat'],v0,9488,8820,322,3918,4580,0
bottom,cgu-16_lto-false_opt-3_panic-unwind,7e1f7ee5caf70e23fbaee2f44644eff96c5f24fb4a48d781343a43c11c5d1bfe,eh_frame,6698,2287,315,16573,True,True,6698,,"['bottom', 'btm']",v0,6698,6416,477,2390,3549,0
bottom,cgu-16_lto-thin_opt-3_panic-unwind,af1055d14a6d5e64ce79b6c9a0684e0ac20aea3618cd82e7c0a75963a7922420,eh_frame,6340,2259,316,16101,True,True,6340,,"['bottom', 'btm']",v0,6340,6079,473,2250,3356,0
bottom,cgu-4_lto-false_opt-3_panic-unwind,5da0de6d6a7cbe6fcf34e41a4ba042b034f61da84239689513fc0adc05e0edaf,eh_frame,6039,2145,316,16110,True,True,6039,,"['bottom', 'btm']",v0,6039,5779,426,2212,3141,0
dprint,cgu-16_lto-false_opt-3_panic-unwind,82e63e0acc033410cae39dd6c055fa6cdcb1cb8a076252d562281707acac7233,eh_frame,35019,10813,979,49181,True,True,35019,,['dprint'],legacy,35019,32656,674,18818,13037,127
