crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
broot,cgu-16_lto-false_opt-3_panic-unwind,e21b85e57ec74e61e27ab9f429c7d7f4d39e07eaab820d323e2a699c89d49c4e,eh_frame,16545,7565,804,34327,True,True,16545,,['broot'],v0,16545,14719,1203,6290,7226,0
broot,lto-thin_opt-3_panic-unwind,720f121005231f7a461e7c9b7f5d8031cd02a119c52dec065ab0c573d8f87c5a,eh_frame,11450,6765,796,27627,True,True,11450,,['broot'],v0,11450,9816,858,4562,4396,0
choose,cgu-16_lto-false_opt-3_panic-unwind,eea0c0b642a568f101797233c8b07ee5fbaa7b91a67ba33e180c02035c9b1b85,eh_frame,3111,1318,166,12263,True,True,3111,,['choose'],v0,3111,2953,22,1244,1687,0
choose,lto-thin_opt-3_panic-unwind,ad66dfee1a711cbcb8a378c528a37c3fd3a8700d253d1168d4aee4284b23c6e4,eh_frame,2194,1143,165,8488,True,True,2194,,['choose'],v0,2194,2086,20,885,1181,0
cotp,cgu-16_lto-false_opt-3_panic-unwind,800d53c7dbae0589169775e8bf0bfc0ab503547c71d29ac9ddc47ab75efe6089,eh_frame,6360,2226,342,7064,True,True,6360,,['cotp'],v0,6360,6031,140,2679,3212,0
cotp,lto-thin_opt-3_panic-unwind,eb683d7d7e322cb6c1ae325e073febf26d12ed87d6a3aa5281d7a1eda4d554ce,eh_frame,4458,2011,338,5742,True,True,4458,,['cotp'],v0,4458,4210,73,2005,2132,0
csvlens,cgu-16_lto-false_opt-3_panic-unwind,927662bbc07eaa627757ac7289d117de6efa922e1d89c61477456f99085f2c97,eh_frame,12156,3057,409,25384,True,True,12156,,['csvlens'],v0,12156,11780,101,6386,5293,0
csvlens,lto-thin_opt-3_panic-unwind,11e22be7042b10da8c3f3e96b5e24cd15fc907c4fdf698372171bed203a2c96f,eh_frame,7298,2641,401,16278,True,True,7298,,['csvlens'],v0,7298,7023,75,3875,3073,0
delta,cgu-16_lto-false_opt-3_panic-unwind,1926b38891c39beecf16b23b7da7cb72125b027f84157fb342b0c91682366887,eh_frame,6955,2137,312,16035,True,True,6955,,"['delta', 'git_delta']",v0,6955,5653,338,1989,3326,0
delta,lto-thin_opt-3_panic-unwind,f3c27ff6fdde6483e496a54532a6e16032060c09aa9d3f40a6d43760abd36bd0,eh_frame,4976,1858,308,11766,True,True,4976,,"['delta', 'git_delta']",v0,4976,3764,260,1471,2033,0
diffr,cgu-16_lto-false_opt-3_panic-unwind,ec17e424b67d267e7f408d67f45bfc0bba2a715d9afd1e1aa18fc76e5b53dd70,eh_frame,763,391,86,921,True,True,763,,['diffr'],v0,763,684,22,48,614,0
diffr,lto-thin_opt-3_panic-unwind,043ecbea52283417c4c2b3edbd0873b5425eb2688f00d807a29b506d35a9ca56,eh_frame,648,378,86,911,True,True,648,,['diffr'],v0,648,588,17,32,539,0
diskonaut,cgu-16_lto-false_opt-3_panic-unwind,a50c0a217dcefa7ccfaba16a5828aa88f8bb0920ef6ec4b4587c419f3e7b8b4d,eh_frame,2495,738,179,2215,True,True,2495,,['diskonaut'],v0,2495,2390,68,725,1597,0
diskonaut,lto-thin_opt-3_panic-unwind,7325b72a1db2aade681d93d10e824a5264778e9b551051f79a12cb86115e7778,eh_frame,1673,686,178,1802,True,True,1673,,['diskonaut'],v0,1673,1595,33,454,1108,0
diskus,cgu-16_lto-false_opt-3_panic-unwind,91157f904208ac8f02e5047e8f7eb689c6d226fc55298baeb6f726aacf4bc8ef,eh_frame,1668,528,131,2046,True,True,1668,,['diskus'],v0,1668,1569,5,371,1193,0
diskus,lto-thin_opt-3_panic-unwind,1c5448c1b28823ba582ce34597bf93b154dd3f6d60747fb594880089a9a9b068,eh_frame,1179,493,128,1872,True,True,1179,,['diskus'],v0,1179,1108,3,257,848,0
dua-cli,cgu-16_lto-false_opt-3_panic-unwind,c0934b224d40525cf57cffd3ee25d6d23a264d9905cb4e23d5c7c8f28043cc49,eh_frame,7769,2267,421,9786,True,True,7769,,"['dua', 'dua_cli']",v0,7769,7402,121,3269,4012,0
dua-cli,lto-thin_opt-3_panic-unwind,4d4b47edf5ce430e6e9cedd322cee992474506c1eab19a1a4a49d0503a442ba6,eh_frame,5239,1981,417,6268,True,True,5239,,"['dua', 'dua_cli']",v0,5239,4967,97,2239,2631,0
fend,cgu-16_lto-false_opt-3_panic-unwind,498c2c03e8d19b33b095307f9d3f07ae668b7e0af2ccd07a4ace5fedd0ab07a7,eh_frame,11267,2510,445,18659,True,True,11267,,['fend'],v0,11267,8936,99,3711,4237,889
fend,lto-thin_opt-3_panic-unwind,7d48cebac7ad15028f0b052dac164eb1c21067337ffc5b57a47a6cce4fd0f239,eh_frame,7832,2232,429,15494,True,True,7832,,['fend'],v0,7832,5630,71,2375,2545,639
git-cliff,cgu-16_lto-false_opt-3_panic-unwind,661e59bee1f153d3959854f08805f9a1f6c774d69d82ee7963edd8d21de74d94,eh_frame,19756,4771,699,66641,True,True,19756,,"['git_cliff', 'git_cliff_completions', 'git_cliff_mangen']",legacy,19756,16227,26,6837,9136,228
git-cliff,lto-thin_opt-3_panic-unwind,639f25e03307e83d97bffcf436ec4fb99eee8d85a94d53475a40ed51fdda03ed,eh_frame,12970,4253,683,60112,True,True,12970,,"['git_cliff', 'git_cliff_completions', 'git_cliff_mangen']",legacy,12970,9830,24,4401,5254,151
git-graph,cgu-16_lto-false_opt-3_panic-unwind,b9873ba021b3ef7fc9d28a97fd316fc8ae33f0255bdc0f4bf0ff0cc5c795f8fd,eh_frame,4326,1211,197,3519,True,True,4326,,['git_graph'],v0,4326,3081,6,1044,2031,0
