name	bin_name	git_url	pinned_sha	actual_sha	cargo_lock_sha256
choose	choose	https://github.com/theryangeary/choose	f1c53ee	f1c53eef5706a767b7327889c2bf1c09a3c4006e	d1a1a6890495bf0ad2da335c8676c3a5c92ffc76d6aff04a5474311ff21a1a01
diskus	diskus	https://github.com/sharkdp/diskus	90196e9	90196e950017d25b2940e8e0fda51a321ca66e1a	8a479eb5d9a18932f30aa4eb3da79991194197761a32568fba02e002ea04f79d
vivid	vivid	https://github.com/sharkdp/vivid	165bbbb	165bbbbe9613e4a8b2dad781c8ff1e34fd052d0d	da32f3d0c8be58b2ec20c104b62fccb10a81a94e63451bec22331e454408bc90
htmlq	htmlq	https://github.com/mgdm/htmlq	bfcb1d1	bfcb1d1d11a80fdd92c0dace1e7e559fbdb225cb	765b2bad3f0eb55325e77dd26c54de4490002794bd48ad0e7807c4eca747841f
kibi	kibi	https://github.com/ilai-deutel/kibi	f63059a	f63059a2e76448ed3410859aa319656fbc4c573a	a8cab87209278388e3568327ae1ea7c42eb8546a18a0861cb4dc5b3685cb0461
diffr	diffr	https://github.com/mookid/diffr	2152742	2152742e90520c5be32fbec3fbbfe670f3b7929b	2fa1e0f949e43d0ad358f91e1f6acff8380e610c65d6ced5336a134e16909f0e
jaq	jaq	https://github.com/01mf02/jaq	b3365b2	b3365b2aea557140b6160fd846a85936ee71c849	11540db8df581e5ac9dbc711e47102bf38ab2fcc2bec6e6719ad7a6887159803
kondo	kondo	https://github.com/tbillington/kondo	1d351ca	1d351ca80b3d3adfad9bbe7db872c27359190210	17cd35f069fe8ac411d74b64a81d893225ec7571432600f0dd7234aabc2318da
tre-command	tre	https://github.com/dduan/tre	a813038	a813038b1c0e52cbc6ce44a28bc828476f161585	d39e54a9e4e9a1400870928f7628a2c338693803e15de7a71c75471b551ca26b
sad	sad	https://github.com/ms-jpq/sad	4df03ae	4df03aebb22af23d54fb83f5d864223c0bd8c413	3c635268c40b9157fed0ee67b16530f2b07ed71f2dae14ac68d8f523ca1b094f
xcp	xcp	https://github.com/tarka/xcp	c71fe85	c71fe85c282a97fff69734809920c843a4551872	d6dff8195cc2241bb2762f2f29536d51bd120b5ba321339c6285f9a0bb378d67
dua-cli	dua	https://github.com/Byron/dua-cli	e5b1e89	e5b1e89afe554430789d228d8c32f5aa12930a7f	5c1cf842197a8a06ee77cd4fd8607da05fca9a348102a517108cd19a18e10f39
git-graph	git-graph	https://github.com/mlange-42/git-graph	c1af89d	c1af89dd79be5947d6a86c2b5b80cbbc2689dead	e27069f8e63d5b86a47e0de0ff95af997008f2acf03ebbad8f43982001127707
rust-parallel	rust-parallel	https://github.com/aaronriekenberg/rust-parallel	777ad2a	777ad2aac04f1f4c606713ab27c6617435c38045	7640fb256bdfee4cf9304c37bf3c50b5d0bad450e3cd63dd508d66661c0b20b0
rustypaste	rustypaste	https://github.com/orhun/rustypaste	f9315d6	f9315d69b0988ba2f54cb3ea5374609610e2438a	396ac3e562ce45303db5090a47182dcf8beabe5b2583e828ccadbd1b4b72359f
diskonaut	diskonaut	https://github.com/imsnif/diskonaut	65cd829	65cd829069e275dc8a3e4493d0da7f8f08055d82	b1e753f612599ecf0e3610acc78739fdb43f6b8c92cd8a38baa144eda94ba891
onefetch	onefetch	https://github.com/o2sh/onefetch	03354b9	03354b9903fb42238bd533fd38e2dd92a22a0c73	964a6fb65159af771bfae1f1cb4e68be854bac895112c6151a06fa4968615231
hgrep	hgrep	https://github.com/rhysd/hgrep	4cef8b4	4cef8b4426ec562f61d193adce45fc9689df4d7e	1048833f576edaece11484aae676d9ff1cc98d473caedd5a0aef6fccacd3e899
kalker	kalker	https://github.com/PaddiM8/kalker	a756ffc	a756ffc76ef083032c2972d73bc3104919fb1f4c	0c9a811635d4a105fb7412bc409f71ffe91992742a23eefc5bacc8d8286d47ca
so	so	https://github.com/samtay/so	4969956	4969956b4aab1bb3aa8705627f71a1ad269ffe31	d597de02c53edaa03009c08f267442d4a0c82f0e159b0ebb264f41d40b99d7bc
broot	broot	https://github.com/Canop/broot	8bcfc57	8bcfc57c39bd558805d77dede44e79b0f3924830	4157d05856433e2230916e27c7f61dd625c07874157875fe043aa087adb7da33
csvlens	csvlens	https://github.com/YS-L/csvlens	6acf060	6acf0606df0ff4d58f3bf5d87795dc4cb4a64a5d	cad16092e79cfbdb878b9a7ef502cb0ef8c8572321e4821df15b89bd73d9e876
delta	delta	https://github.com/dandavison/delta	f85c46b	f85c46ba8b913aa3208af0f3573db90286e56e18	b9535da611c128891cc63d3869532c863e7924cbcd21c559992b5b7f94e7aa4f
fend	fend	https://github.com/printfn/fend	609365a	609365a78f4de09315a20d8d5d502bd0f7c58fd5	d21ecb40e41fff90c45140389d522fccf13339fbe5289369b64d9b3ede2d0651
git-cliff	git-cliff	https://github.com/orhun/git-cliff	03a9c80	03a9c8026a25a3cca10441c910197eee20eef7a8	0bba8c0539b9c9850d2d7b85b346a9e0db351b6927d836f40dd9f99deeca91ee
lsd	lsd	https://github.com/lsd-rs/lsd	fecadf3	fecadf36235be734b3fd97c44e237f3a29eb1073	40f5a2d510335b7c6191cc33cfdf07f203600e6d6d37c9d35f274f985089720c
mdbook	mdbook	https://github.com/rust-lang/mdBook	8b53f1b	8b53f1b1bbfef0f3eb0e3dba69187765e5c38cd2	a4ffd2c69a8660da568a185788df88824364b4386403ebfe1e03e556538a8f4b
