crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
gitoxide,cgu-16_lto-false_opt-3_panic-unwind,586e4d79c4a35de88a1ae41278cf952fd1cdc6e976ed7a900f843577e0426061,eh_frame,41691,8116,959,65982,True,True,41691,,"['ein', 'gitoxide', 'gix']",v0,41691,37421,3603,8273,18156,7389
gitoxide,lto-thin_opt-3_panic-unwind,e36a64eb365f2113e2465e3d9ef858e15e0d4af400e042765a24a61ef6805553,eh_frame,28735,7063,942,44626,True,True,28735,,"['ein', 'gitoxide', 'gix']",v0,28735,24749,2550,6146,10841,5212
gitu,cgu-16_lto-false_opt-3_panic-unwind,8a597d97fa936e9f2103438b7f6f60f9842f507e516b69fedf5bcbbd9ac561b9,eh_frame,9837,2588,380,25616,True,True,9837,,['gitu'],v0,9837,7770,696,2728,4346,0
gitu,lto-thin_opt-3_panic-unwind,841ee4ada60e87dcfd77e5108db76712723d029a320c12edc6cfbdb2631ab647,eh_frame,7065,2268,380,20945,True,True,7065,,['gitu'],v0,7065,5115,595,1839,2681,0
gitui,cgu-16_lto-false_opt-3_panic-unwind,68f65c27b38ab37b64c497cb62889ab30f04433a86696ebf1a6a512e9dbb43d0,eh_frame,30582,5712,749,57904,True,True,30582,,['gitui'],legacy,30582,17087,614,6468,9575,430
gitui,lto-thin_opt-3_panic-unwind,09919bdb6b1c497e16eb3830defc8476e49e0ba8b7239fe8db105fab68a5c8f3,eh_frame,24081,5007,739,46263,True,True,24081,,['gitui'],legacy,24081,10935,454,4451,5713,317
grass,cgu-16_lto-false_opt-3_panic-unwind,b2db90cc991ec1d65d4ccd20ad11ed7542cb1f2136611bdc67f1bbdff5bb19e6,eh_frame,4729,922,166,3165,True,True,4729,,['grass'],v0,4729,4595,3,423,2783,1386
grass,lto-thin_opt-3_panic-unwind,81e2cbcae4104db41c7ce93775ea95a65b483293ff9f9b58d96ae343d739fcec,eh_frame,3131,845,164,2620,True,True,3131,,['grass'],v0,3131,3043,3,293,1551,1196
grcov,cgu-16_lto-false_opt-3_panic-unwind,0544bb4785a8501d14b130ef7c24ed2c62f80f97d408808651819243ec75d2d5,eh_frame,8360,2796,352,55107,True,True,8360,,['grcov'],v0,8360,7989,130,3544,4315,0
grcov,lto-thin_opt-3_panic-unwind,3b5f409b886a97dcb7a10551288f439c5333788fff33c39436e9f4bb665a5925,eh_frame,5835,2461,346,50607,True,True,5835,,['grcov'],v0,5835,5562,123,2679,2760,0
hurl,cgu-16_lto-false_opt-3_panic-unwind,fd3ec13545753cc95a83e1fbe2449008ac8e1608f8de6030b8ff6035c71c9c4c,eh_frame,8334,2486,353,20564,True,True,8334,,['hurl'],v0,8334,6855,598,2133,3725,399
hurl,lto-thin_opt-3_panic-unwind,a9c4c4d056aaa7aaf6baf6f50f1b469c92e48f1adc8008256e29de75b2e9cd07,eh_frame,5693,2174,343,16228,True,True,5693,,['hurl'],v0,5693,4306,389,1487,2137,293
hwatch,cgu-16_lto-false_opt-3_panic-unwind,1ab72d68f3f34c63c50c0faef783820789a471bbea3b23069ba9c4b47edf70b0,eh_frame,5509,2360,337,15032,True,True,5509,,['hwatch'],v0,5509,5223,178,2143,2889,13
