crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
bandwhich,v2-release,c98e94f164a9c19dde9ee215e11a1a69b3365ace8958e743afb2f92b2a067587,eh_frame,2506,1086,305,2609,True,True,2506,,['bandwhich'],v0,2506,2387,49,1130,1208,0
bat,v2-release,89726291bc39dba8757728868638600580e5599ea11b800afcf7ee786ac10e82,eh_frame,5777,2492,488,12665,True,True,5777,,['bat'],v0,5777,5344,265,2511,2568,0
bottom,v2-release,444a638b0b17e4a6e2d9a2a31e226071d8a9aaeb5b48d6ae1dda47350b89896c,eh_frame,4077,1733,309,10559,True,True,4077,,"['bottom', 'btm']",v0,4077,3925,309,1583,2033,0
dprint,v2-release,0933769d4c83d07b63c1e3d6b93bc6e06bb7eea9035f04c4a1ecce63cb698bdc,eh_frame,35055,10807,979,50155,True,True,35055,,['dprint'],legacy,35055,32668,687,18946,12898,137
dufs,v2-release,4f9f4b656db82c7cb137b55600c1d27ae8fc71301069cbdd6e6816243a1d1f53,eh_frame,5579,1485,401,11318,True,True,5579,,['dufs'],v0,5579,3532,88,2109,1335,0
dust,v2-release,297ff4e9923a72182e9de108423881725faeb5883ca18a5e1b59c9a87732d5c8,eh_frame,2699,1319,227,8334,True,True,2699,,"['du_dust', 'dust']",v0,2699,2579,37,1066,1476,0
eza,v2-release,fc8deb0fd2061256bc2dce80d97adcab7a73025564ef1d2771e1bd081d29761b,eh_frame,2929,898,233,3957,True,True,2929,,['eza'],legacy,2929,1572,147,552,873,0
fclones,v2-release,c9459f8d153ac43f41ccc8e6451e98e5d21180b3236dc8a1d0b4b5c0e2a99da4,eh_frame,4132,2175,370,9537,True,True,4132,,['fclones'],v0,4132,3947,185,1906,1856,0
fd,v2-release,98c7869a1cee523a1863974e9880d024ba5604608ec091e7dd791f2e6c836dac,eh_frame,3468,1416,264,8953,True,True,3468,,"['fd', 'fd_find']",v0,3468,3338,72,1537,1729,0
gping,v2-release,a960c5fe602744699fc80fe6ef2dc7a1f85fd9bfa117a6db9201e8b6c2f313f2,eh_frame,2804,1369,261,8200,True,True,2804,,['gping'],v0,2804,2674,12,1173,1478,11
